payment_id,order_id,payment_type,payment_value
421,1255,Net Banking,15317.7
422,1256,Net Banking,4577.62
423,1257,COD,1126.44
424,1258,Debit Card,7230.94
425,1260,Debit Card,1459.32
426,1261,UPI,2731.65
427,1262,Net Banking,94341.95
428,1263,COD,2029.71
429,1264,COD,5969.32
430,1265,Net Banking,104121.76
431,1266,Net Banking,6277.5
432,1267,COD,10601.08
433,1269,Credit Card,5306.07
434,1270,Debit Card,648.62
435,1271,Credit Card,150317.73
436,1272,UPI,799.98
437,1273,COD,2561.19
438,1274,Net Banking,164474.26
439,1275,Credit Card,8541.8
440,1276,Net Banking,77949.58
441,1277,Credit Card,1094.67
442,1279,Credit Card,5848.75
443,1280,Debit Card,3037.6
444,1282,Debit Card,2583.03
445,1283,Net Banking,4211.76
446,1285,Debit Card,3738.47
447,1286,Credit Card,13509.02
448,1287,Debit Card,3417.34
449,1288,Credit Card,88156.34
450,1289,Net Banking,1875.24
451,1290,COD,177346.35
452,1291,Net Banking,118669.83
453,1293,UPI,2324.94
454,1294,COD,5258.4
455,1295,Credit Card,3084.95
456,1296,UPI,1786.76
457,1297,Net Banking,2146.25
458,1299,UPI,57320.46
459,1300,Net Banking,29660.87
460,1301,COD,268533.94
461,1302,Debit Card,669.65
462,1303,Debit Card,5124.06
463,1305,Net Banking,2266.44
464,1307,UPI,16535.23
465,1308,Net Banking,31155.37
466,1309,Net Banking,5873.88
467,1310,Net Banking,20268.12
468,1311,Net Banking,200173.2
469,1312,UPI,96108.39
470,1313,Net Banking,1240.87
471,1314,Debit Card,8069.01
472,1315,Debit Card,8324.16
473,1316,Credit Card,8124.61
474,1318,Debit Card,55982.94
475,1319,Debit Card,1794.94
476,1320,Debit Card,65099.01
477,1322,Net Banking,2234.1
478,1323,Credit Card,8833.9
479,1324,Credit Card,526.62
480,1325,Credit Card,4779.25
481,1326,COD,13942.29
482,1327,COD,114261.94
483,1328,COD,5347.19
484,1330,COD,1351.98
485,1331,Credit Card,11515.22
486,1332,UPI,477.72
487,1333,Net Banking,75723.06
488,1334,Debit Card,66210.95
489,1335,UPI,32597.04
490,1336,Credit Card,6619.97
491,1338,UPI,9646.14
492,1339,Credit Card,95320.44
493,1340,UPI,9923.91
494,1341,COD,7111.35
495,1342,COD,319.0
496,1346,UPI,1241.91
497,1347,Debit Card,11584.46
498,1348,UPI,23413.0
499,1350,COD,21490.93
500,1351,Debit Card,28972.39
501,1353,Net Banking,32044.95
502,1354,Credit Card,104840.27
503,1355,Debit Card,4948.82
504,1356,Credit Card,75725.31
505,1357,Net Banking,6466.61
506,1358,Debit Card,90690.03
507,1359,Credit Card,1891.06
508,1360,Credit Card,37437.38
509,1362,Net Banking,72794.4
510,1363,Debit Card,15893.88
511,1364,Credit Card,14032.71
512,1365,COD,6287.23
513,1367,UPI,841.4
514,1368,Credit Card,2247.24
515,1369,UPI,765.82
516,1370,COD,18504.93
517,1372,UPI,2540.46
518,1373,COD,12364.64
519,1374,Credit Card,60309.51
520,1375,Debit Card,708.96
521,1376,COD,8683.35
522,1377,Net Banking,3230.49
523,1378,Net Banking,1546.5
524,1379,Credit Card,951.63
525,1380,Credit Card,179945.04
526,1381,UPI,238531.66
527,1382,Credit Card,52376.94
528,1384,COD,53817.5
529,1385,UPI,4677.15
530,1386,UPI,51708.88
531,1388,UPI,2388.24
532,1389,Debit Card,42480.48
533,1390,Credit Card,17260.38
534,1391,COD,9007.12
535,1395,UPI,15421.23
536,1396,Net Banking,603.8
537,1397,COD,1926.96
538,1398,Debit Card,4202.9
539,1399,Credit Card,10313.04
540,1400,Credit Card,174584.05
541,1401,COD,2751.28
542,1402,Credit Card,1044.78
543,1403,Credit Card,76298.24
544,1406,UPI,49886.86
545,1407,Debit Card,1760.62
546,1408,Credit Card,8392.29
547,1409,Debit Card,59156.96
548,1410,COD,2548.49
549,1412,UPI,5925.72
550,1413,COD,1372.62
551,1414,COD,29202.78
552,1416,UPI,3029.19
553,1417,Net Banking,11080.48
554,1418,Credit Card,59105.51
555,1419,Credit Card,711.5
556,1420,UPI,11690.84
557,1421,Net Banking,6025.44
558,1423,Credit Card,80327.4
559,1424,Credit Card,115567.09
560,1425,Credit Card,68928.27
561,1426,COD,18679.02
562,1428,Debit Card,5367.46
563,1429,COD,6338.01
564,1430,Debit Card,748.83
565,1431,Net Banking,12039.44
566,1432,Credit Card,4674.28
567,1433,Net Banking,8082.24
568,1434,Credit Card,9824.56
569,1435,UPI,171660.03
570,1437,Credit Card,6488.26
571,1438,Credit Card,11088.48
572,1439,COD,616.66
573,1440,UPI,2609.24
574,1441,UPI,23120.4
575,1442,Net Banking,8407.04
576,1443,Credit Card,2797.74
577,1444,UPI,8546.4
578,1445,Debit Card,4839.22
579,1446,Net Banking,3302.98
580,1447,COD,91236.08
581,1448,Net Banking,45827.43
582,1449,Net Banking,808.13
583,1450,COD,498.47
584,1451,COD,76775.74
585,1452,Net Banking,2420.07
586,1453,COD,1410.48
587,1455,Net Banking,1477.44
588,1456,COD,1863.22
589,1457,Debit Card,99253.14
590,1459,COD,498.53
591,1460,COD,16433.25
592,1461,Net Banking,20251.53
593,1462,Debit Card,6438.08
594,1463,COD,6012.18
595,1464,Net Banking,1213.28
596,1465,Credit Card,62318.07
597,1466,COD,113877.42
598,1467,Net Banking,6935.58
599,1468,Credit Card,2645.85
600,1469,UPI,5854.6
601,1470,Credit Card,682.97
602,1471,UPI,338.76
603,1472,COD,3936.56
604,1473,Debit Card,283729.77
605,1474,Debit Card,9680.85
606,1475,UPI,19680.64
607,1476,COD,139394.64
608,1477,Net Banking,43986.47
609,1478,Net Banking,2524.5
610,1479,Net Banking,4610.46
611,1481,Debit Card,2421.63
612,1482,Debit Card,3106.24
613,1483,UPI,64665.16
614,1484,Debit Card,657.85
615,1485,Net Banking,64470.78
616,1486,Credit Card,4437.11
617,1487,UPI,18863.95
618,1489,Credit Card,8366.48
619,1490,Net Banking,88583.49
620,1491,Credit Card,10844.82
621,1493,Net Banking,5914.82
622,1495,COD,55873.04
623,1496,Credit Card,47000.74
624,1497,Debit Card,9831.54
625,1498,Net Banking,9854.01
626,1499,Credit Card,41692.56
627,1500,Credit Card,23814.74
628,1501,UPI,3202.01
629,1502,Credit Card,146199.77
630,1503,Net Banking,9579.23
631,1504,Debit Card,2907.31
632,1505,Net Banking,189736.69
633,1506,Net Banking,9637.57
634,1507,Net Banking,1678.0
635,1508,Net Banking,7976.26
636,1510,Debit Card,4137.36
637,1512,Credit Card,138978.66
638,1513,Net Banking,1716.1
639,1514,Credit Card,2674.46
640,1515,Net Banking,14687.61
641,1516,UPI,86981.58
642,1518,Credit Card,15261.61
643,1519,Credit Card,5598.05
644,1520,UPI,10773.0
645,1522,Debit Card,10002.78
646,1523,Debit Card,2395.29
647,1524,UPI,138373.03
648,1525,Debit Card,6142.77
649,1526,Net Banking,6345.36
650,1528,Net Banking,8749.44
651,1529,Net Banking,18507.04
652,1531,UPI,509.99
653,1532,COD,141923.25
654,1533,Debit Card,4124.12
655,1534,Debit Card,2543.42
656,1535,COD,125508.1
657,1536,COD,16437.62
658,1537,Net Banking,19206.75
659,1538,UPI,8621.41
660,1539,Net Banking,2477.34
661,1540,UPI,9371.37
662,1542,Debit Card,4840.96
663,1543,Debit Card,27273.63
664,1544,Credit Card,301.07
665,1545,Debit Card,9671.35
666,1546,COD,88408.1
667,1547,Credit Card,21606.96
668,1550,UPI,3003.06
669,1551,UPI,6218.58
670,1554,Credit Card,369.88
671,1555,COD,17408.97
672,1557,Debit Card,7847.16
673,1558,UPI,8274.96
674,1559,UPI,849.72
675,1560,COD,13375.11
676,1561,Credit Card,16261.02
677,1563,COD,16840.11
678,1564,Debit Card,145804.47
679,1565,UPI,12645.19
680,1566,Net Banking,1984.46
681,1567,Net Banking,29052.93
682,1568,Debit Card,649.28
683,1569,COD,29413.77
684,1570,Net Banking,4198.54
685,1571,Debit Card,90939.22
686,1572,COD,10585.83
687,1573,Debit Card,14923.77
688,1574,Debit Card,5775.59
689,1575,Debit Card,42643.31
690,1576,UPI,27417.76
691,1577,COD,2973.45
692,1578,COD,27922.37
693,1579,UPI,8631.51
694,1580,Net Banking,231937.94
695,1581,Net Banking,3063.12
696,1582,Net Banking,22284.48
697,1584,COD,647.6
698,1585,UPI,2666.66
699,1586,COD,117882.0
700,1587,COD,32538.61
701,1588,COD,114877.02
702,1589,UPI,13392.9
703,1590,Credit Card,26696.1
704,1591,Net Banking,59134.41
705,1592,Debit Card,100664.45
706,1593,Net Banking,121538.79
707,1594,Debit Card,4936.05
708,1595,Credit Card,10233.72
709,1596,Credit Card,7006.16
710,1598,Credit Card,105293.3
711,1599,UPI,13483.03
712,1600,COD,14973.8
713,1601,Net Banking,23462.48
714,1602,Debit Card,4698.62
715,1604,Net Banking,23986.56
716,1605,Credit Card,119336.96
717,1606,UPI,149484.59
718,1608,UPI,116635.11
719,1609,Debit Card,11545.68
720,1610,UPI,1552.64
721,1611,Credit Card,31626.85
722,1613,Credit Card,16136.54
723,1614,Net Banking,5905.55
724,1615,COD,389.28
725,1618,Credit Card,2380.8
726,1619,Net Banking,10768.02
727,1620,Credit Card,25607.06
728,1621,Net Banking,28755.25
729,1622,COD,1894.95
730,1623,COD,7888.72
731,1625,Debit Card,4038.81
732,1627,Credit Card,124073.62
733,1628,UPI,61181.04
734,1629,UPI,1960.41
735,1630,Credit Card,2742.43
736,1631,UPI,8308.7
737,1632,Debit Card,62546.94
738,1633,Net Banking,1854.1
739,1634,UPI,22604.89
740,1635,Credit Card,30194.95
741,1636,Net Banking,2132.81
742,1637,Credit Card,6613.83
743,1638,Net Banking,74982.54
744,1639,UPI,1519.56
745,1640,UPI,2869.83
746,1641,Net Banking,8087.18
747,1643,Debit Card,6685.98
748,1644,COD,160975.14
749,1645,Debit Card,24068.77
750,1646,Net Banking,18065.74
751,1647,Debit Card,59789.74
752,1648,COD,3204.8
753,1649,COD,4989.57
754,1651,COD,1559.66
755,1652,Debit Card,1495.02
756,1654,Debit Card,52239.33
757,1656,COD,244727.01
758,1658,Credit Card,8313.52
759,1659,COD,63735.46
760,1660,COD,59002.96
761,1661,Debit Card,6432.12
762,1662,COD,8896.87
763,1663,Credit Card,11033.22
764,1664,Credit Card,6247.44
765,1665,UPI,3005.17
766,1666,Net Banking,16646.53
767,1668,Net Banking,3449.08
768,1669,Debit Card,8226.59
769,1670,Debit Card,35349.94
770,1671,COD,1649.94
771,1672,Debit Card,105081.6
772,1673,Net Banking,147600.44
773,1675,Net Banking,613.6
774,1676,UPI,2748.02
775,1677,COD,109982.19
776,1678,Debit Card,2397.46
777,1679,Debit Card,2742.5
778,1680,UPI,5119.64
779,1681,Credit Card,43121.15
780,1682,COD,3407.04
781,1683,Credit Card,39103.64
782,1684,Credit Card,9850.53
783,1685,Credit Card,3465.8
784,1686,Net Banking,526.32
785,1687,Credit Card,449.62
786,1688,UPI,13157.91
787,1689,COD,16543.56
788,1690,COD,5203.43
789,1691,Debit Card,738.05
790,1692,Net Banking,2452.58
791,1693,Net Banking,11620.37
792,1694,Net Banking,1620.26
793,1695,COD,2105.08
794,1696,Debit Card,1366.92
795,1697,Debit Card,1954.01
796,1698,UPI,15643.71
797,1699,Credit Card,2746.28
798,1700,Credit Card,3593.19
799,1703,COD,1348.35
800,1704,Net Banking,11352.86
801,1705,UPI,43057.77
802,1706,Debit Card,129348.09
803,1708,UPI,2847.02
804,1709,Net Banking,82200.56
805,1711,Net Banking,93016.74
806,1712,Net Banking,10867.33
807,1713,Credit Card,7848.64
808,1714,Net Banking,5652.08
809,1716,Net Banking,45562.57
810,1719,UPI,8166.71
811,1721,Debit Card,21804.46
812,1722,Debit Card,37510.38
813,1723,UPI,5503.92
814,1724,Debit Card,1264.86
815,1725,Credit Card,213249.78
816,1726,Net Banking,4143.61
817,1727,Net Banking,1056.54
818,1728,Net Banking,2168.38
819,1729,COD,2903.31
820,1730,Credit Card,22299.72
821,1731,Net Banking,14631.2
822,1733,Net Banking,4875.73
823,1734,Credit Card,10296.78
824,1735,Debit Card,1909.53
825,1736,Credit Card,44754.38
826,1739,COD,70463.82
827,1740,Credit Card,8206.71
828,1741,Debit Card,1197.66
829,1742,Credit Card,2827.68
830,1743,COD,926.65
831,1744,Debit Card,4472.45
832,1745,COD,31029.99
833,1746,Net Banking,1220.92
834,1747,UPI,3687.68
835,1748,UPI,4110.66
836,1749,UPI,71216.94
837,1750,UPI,11011.35
838,1751,UPI,112511.23
839,1752,Credit Card,27643.0
840,1753,COD,3740.39
841,1754,Net Banking,3942.87
842,1755,Net Banking,4873.41
843,1756,UPI,27507.79
844,1757,Credit Card,56800.1
845,1758,UPI,80122.85
846,1759,UPI,3975.75
847,1760,Net Banking,138324.45
848,1761,Credit Card,24444.25
849,1762,UPI,5882.37
850,1763,Credit Card,14971.4
851,1764,Debit Card,107431.03
852,1765,Debit Card,2923.32
853,1766,Debit Card,561.21
854,1767,COD,1607.19
855,1768,UPI,1910.43
856,1769,UPI,75923.69
857,1770,Credit Card,5084.36
858,1771,Debit Card,731.97
859,1772,Debit Card,304.78
860,1773,UPI,10589.33
861,1774,UPI,82267.74
862,1775,COD,45141.96
863,1776,UPI,6621.12
864,1777,UPI,461.46
865,1778,COD,35086.92
866,1779,UPI,2728.13
867,1780,Credit Card,6562.04
868,1781,Credit Card,5326.86
869,1782,Net Banking,207885.87
870,1783,Net Banking,7614.88
871,1784,UPI,126386.46
872,1785,Debit Card,1929.08
873,1786,COD,60936.01
874,1787,Debit Card,61023.04
875,1788,COD,78506.52
876,1789,COD,23229.72
877,1790,UPI,42780.09
878,1792,COD,41821.26
879,1794,Debit Card,29382.4
880,1795,Credit Card,597.3
881,1796,UPI,2636.32
882,1797,Net Banking,1294.6
883,1798,COD,437.58
884,1799,Debit Card,80169.68
885,1800,Credit Card,48759.32
886,1801,COD,5766.5
887,1802,UPI,783.89
888,1803,Net Banking,27902.84
889,1804,COD,1971.94
890,1805,Credit Card,74724.22
891,1806,Debit Card,1507.35
892,1807,UPI,2702.41
893,1808,Net Banking,6867.0
894,1809,Debit Card,21447.11
895,1810,Credit Card,1767.7
896,1811,Net Banking,4014.04
897,1812,Net Banking,11479.46
898,1813,Debit Card,587.07
899,1814,COD,4572.06
900,1815,Debit Card,2822.28
901,1816,Debit Card,72017.01
902,1817,Net Banking,3849.34
903,1818,Net Banking,5529.47
904,1819,Credit Card,113996.1
905,1820,Debit Card,1776.34
906,1821,Debit Card,3729.96
907,1822,Credit Card,89113.89
908,1823,Credit Card,107600.73
909,1824,Net Banking,2593.14
910,1825,Credit Card,2675.54
911,1826,Credit Card,43756.38
912,1827,UPI,45333.13
913,1829,UPI,1627.8
914,1830,UPI,4569.94
915,1831,COD,412.17
916,1833,UPI,2765.01
917,1835,Credit Card,5804.5
918,1836,UPI,10038.87
919,1837,Net Banking,117516.54
920,1838,Credit Card,29398.15
921,1839,Credit Card,57030.91
922,1840,UPI,2535.78
923,1841,Debit Card,6750.54
924,1842,Debit Card,10868.35
925,1843,Debit Card,7687.85
926,1844,COD,5676.92
927,1845,Credit Card,4202.61
928,1846,Net Banking,6340.8
929,1848,Net Banking,954.26
930,1849,Net Banking,40421.35
931,1850,UPI,12754.33
932,1851,COD,98571.12
933,1852,COD,76697.82
934,1853,Debit Card,25870.18
935,1854,Credit Card,18249.7
936,1855,Net Banking,90002.69
937,1856,UPI,109496.22
938,1859,Debit Card,16705.46
939,1860,Credit Card,1761.34
940,1861,Net Banking,3198.28
941,1862,Credit Card,11698.06
942,1863,Debit Card,7848.42
943,1865,UPI,1283.5
944,1866,UPI,49931.25
945,1867,UPI,16426.36
946,1869,Debit Card,15843.78
947,1870,Net Banking,36945.88
948,1871,Credit Card,674.82
949,1872,Net Banking,4512.02
950,1874,Net Banking,11180.6
951,1875,Net Banking,1671.97
952,1876,Debit Card,2355.28
953,1877,Net Banking,2626.14
954,1880,Credit Card,10978.9
955,1882,Debit Card,8256.03
956,1883,Net Banking,75033.13
957,1885,Debit Card,18033.58
958,1886,COD,6560.68
959,1887,Credit Card,49930.1
960,1888,UPI,13733.54
961,1889,Credit Card,5477.28
962,1890,Debit Card,39598.85
963,1891,Net Banking,15558.88
964,1892,UPI,133205.43
965,1893,Net Banking,939.81
966,1894,Debit Card,140956.2
967,1895,Credit Card,61760.82
968,1896,UPI,2913.88
969,1897,Credit Card,11159.12
970,1898,Credit Card,9922.65
971,1899,COD,14735.34
972,1900,COD,31779.42
973,1901,Net Banking,5553.04
974,1902,Debit Card,855.98
975,1903,Credit Card,94975.35
976,1904,Credit Card,4790.76
977,1905,Net Banking,98331.43
978,1906,UPI,29035.87
979,1907,UPI,81426.26
980,1908,Debit Card,7053.46
981,1909,Debit Card,105755.75
982,1911,COD,117243.3
983,1912,Debit Card,2088.28
984,1913,Debit Card,5970.14
985,1915,UPI,2383.66
986,1916,UPI,5321.75
987,1917,Net Banking,1053.98
988,1918,COD,86255.52
989,1919,Credit Card,7009.08
990,1920,Credit Card,45539.0
991,1921,Credit Card,99335.96
992,1922,Debit Card,3163.66
993,1923,COD,577.05
994,1924,Debit Card,25409.06
995,1925,COD,2941.29
996,1926,Net Banking,756.07
997,1927,COD,3510.36
998,1928,COD,4116.11
999,1929,COD,5972.52
1000,1930,COD,7573.6
1001,1931,Credit Card,8844.18
1002,1932,Net Banking,110705.49
1003,1933,UPI,10983.36
1004,1935,Net Banking,16553.1
1005,1936,COD,34151.75
1006,1938,COD,12294.55
1007,1939,Debit Card,1441.54
1008,1940,COD,115524.43
1009,1941,Net Banking,20222.5
1010,1942,UPI,2000.66
1011,1943,Debit Card,61578.51
1012,1945,Debit Card,1971.72
1013,1946,UPI,120685.49
1014,1947,Net Banking,18711.7
1015,1949,COD,9707.88
1016,1951,UPI,1485.87
1017,1952,Net Banking,36092.17
1018,1953,Net Banking,102303.92
1019,1955,Net Banking,9330.82
1020,1956,COD,2050.9
1021,1957,COD,3132.05
1022,1958,Credit Card,89480.16
1023,1959,Debit Card,7058.85
1024,1960,COD,12138.57
1025,1961,Credit Card,4144.98
1026,1962,Net Banking,57232.97
1027,1963,Debit Card,1819.7
1028,1964,Debit Card,1343.02
1029,1965,UPI,218.59
1030,1966,Credit Card,16938.03
1031,1967,COD,1324.39
1032,1968,Debit Card,69849.27
1033,1969,Net Banking,3935.88
1034,1970,Debit Card,9946.59
1035,1971,UPI,31894.78
1036,1972,COD,1072.64
1037,1973,Credit Card,3944.85
1038,1975,UPI,2247.7
1039,1977,Credit Card,3448.95
1040,1978,Net Banking,8823.96
1041,1981,Credit Card,4625.22
1042,1982,Net Banking,20061.16
1043,1983,UPI,2316.8
1044,1984,Net Banking,7238.79
1045,1986,UPI,12328.01
1046,1987,UPI,6682.89
1047,1988,Debit Card,903.69
1048,1991,COD,8964.46
1049,1992,COD,11652.54
1050,1994,Net Banking,99897.74
1051,1996,UPI,125340.63
1052,1997,COD,19521.9
1053,1998,Debit Card,5130.0
1054,1999,COD,7319.16
1055,2001,UPI,16486.26
1056,2002,Net Banking,738.56
1057,2003,COD,11420.9
1058,2004,Credit Card,5190.51
1059,2005,COD,219.47
1060,2006,COD,7964.76
1061,2007,Debit Card,81347.08
1062,2008,UPI,274.95
1063,2009,Credit Card,24361.81
1064,2010,Net Banking,2187.07
1065,2011,COD,115971.0
1066,2012,Debit Card,1251.69
1067,2013,Credit Card,377.12
1068,2014,COD,44073.02
1069,2015,Credit Card,4482.04
1070,2016,UPI,1225.34
1071,2018,Net Banking,923.54
1072,2019,UPI,177669.54
1073,2020,Debit Card,4453.18
1074,2021,Credit Card,8144.3
1075,2023,Net Banking,6957.11
1076,2024,UPI,1689.92
1077,2025,UPI,838.15
1078,2027,Credit Card,79286.86
1079,2028,Debit Card,5676.06
1080,2029,Credit Card,131606.46
1081,2030,Debit Card,4033.29
1082,2031,Debit Card,3917.27
1083,2032,Net Banking,5828.16
1084,2033,Credit Card,246.39
1085,2034,Net Banking,20794.6
1086,2035,Credit Card,1885.04
1087,2036,Credit Card,33599.64
1088,2037,Debit Card,20504.87
1089,2039,UPI,522.15
1090,2040,Debit Card,5422.76
1091,2041,Debit Card,7138.89
1092,2042,COD,10134.09
1093,2043,COD,2103.24
1094,2044,UPI,2738.17
1095,2045,UPI,2409.66
1096,2047,Credit Card,107063.95
1097,2048,UPI,1193.52
1098,2049,UPI,9412.41
1099,2050,Credit Card,1065.0
1100,2051,UPI,6769.93
1101,2052,Debit Card,1901.72
1102,2053,Credit Card,11709.84
1103,2054,UPI,87166.37
1104,2056,Net Banking,8809.24
1105,2057,Debit Card,48287.43
1106,2058,UPI,5262.18
1107,2060,COD,5651.26
1108,2061,COD,5585.0
1109,2062,Net Banking,41849.3
1110,2063,COD,1568.43
1111,2065,UPI,3711.74
1112,2066,Net Banking,29671.41
1113,2067,COD,2062.32
1114,2068,Debit Card,3740.3
1115,2070,UPI,178097.34
1116,2071,Debit Card,1969.86
1117,2072,UPI,4661.76
1118,2073,Debit Card,5208.6
1119,2075,Credit Card,907.84
1120,2076,Net Banking,10762.04
1121,2077,Credit Card,2447.99
1122,2078,COD,28872.57
1123,2079,Debit Card,516.28
1124,2080,UPI,8559.34
1125,2081,COD,10980.58
