customer_id,CLV,recency,frequency,monetary,first_purchase,last_purchase,recency_score,frequency_score,monetary_score,rfm_segment,churn_status
196,26337.66,209,5,5267.532000,2025-09-14,2025-12-23,1,2,1,"At Risk",Churned
138,10601.08,508,2,5300.540000,2025-02-27,2025-02-27,1,1,1,Lost,Churned
97,10750.79,183,2,5375.395000,2026-01-18,2026-01-18,1,1,1,Lost,Churned
236,5553.04,177,1,5553.040000,2026-01-24,2026-01-24,1,1,1,Lost,Churned
171,63021.53,33,11,5729.230000,2025-04-09,2026-06-17,3,3,1,Loyal,Active
208,152246.95,5,25,6089.878000,2025-01-10,2026-07-15,4,4,1,Loyal,Active
179,73648.65,23,12,6137.387500,2025-01-26,2026-06-27,4,3,1,Loyal,Active
247,43728.59,191,7,6246.941429,2025-02-09,2026-01-10,1,2,1,"At Risk",Churned
211,95071.07,116,15,6338.071333,2025-04-24,2026-03-26,2,3,1,Loyal,Churned
30,13483.03,111,2,6741.515000,2026-03-31,2026-03-31,2,1,1,Lost,Churned
17,6916.30,36,1,6916.300000,2026-06-14,2026-06-14,3,1,1,Lost,Active
210,132924.39,17,19,6996.020526,2025-04-17,2026-07-03,4,4,1,Loyal,Active
126,21098.82,111,3,7032.940000,2025-09-30,2026-03-31,2,1,2,Lost,Churned
129,21417.86,76,3,7139.286667,2025-06-20,2026-05-05,2,1,2,Lost,Active
71,50898.71,111,7,7271.244286,2025-02-15,2026-03-31,2,2,2,"At Risk",Churned
164,74369.51,7,10,7436.951000,2025-06-08,2026-07-13,4,3,2,Loyal,Active
58,30248.41,0,4,7562.102500,2025-05-29,2026-07-20,4,2,2,Lost,Active
16,93245.60,100,12,7770.466667,2025-02-18,2026-04-11,2,3,2,Loyal,Churned
14,189536.22,75,23,8240.705217,2025-04-07,2026-05-06,2,4,2,Loyal,Active
212,16721.59,15,2,8360.795000,2025-05-22,2026-07-05,4,1,2,Lost,Active
198,50685.17,208,6,8447.528333,2025-05-04,2025-12-24,1,2,2,"At Risk",Churned
124,153817.05,27,18,8545.391667,2025-01-05,2026-06-23,4,4,2,Loyal,Active
63,94467.22,78,11,8587.929091,2025-02-25,2026-05-03,2,3,2,Loyal,Active
122,115194.22,288,13,8861.093846,2025-03-08,2025-10-05,1,3,2,"At Risk",Churned
80,45970.03,235,5,9194.006000,2025-08-29,2025-11-27,1,2,2,"At Risk",Churned
168,172637.79,6,18,9590.988333,2025-01-24,2026-07-14,4,4,2,Loyal,Active
202,192122.31,6,20,9606.115500,2025-04-19,2026-07-14,4,4,2,Loyal,Active
27,77221.35,23,8,9652.668750,2025-01-25,2026-06-27,4,2,2,Lost,Active
5,58576.74,413,6,9762.790000,2025-02-12,2025-06-02,1,2,2,"At Risk",Churned
96,129561.98,23,13,9966.306154,2025-01-22,2026-06-27,4,3,2,Loyal,Active
199,115907.71,52,11,10537.064545,2025-03-22,2026-05-29,3,3,2,Loyal,Active
42,267790.39,41,25,10711.615600,2025-04-01,2026-06-09,3,4,2,Loyal,Active
6,75248.89,171,7,10749.841429,2025-09-01,2026-01-30,1,2,2,"At Risk",Churned
28,55001.18,37,5,11000.236000,2025-04-17,2026-06-13,3,2,2,Lost,Active
177,279560.31,126,25,11182.412400,2025-02-06,2026-03-16,2,4,2,Loyal,Churned
170,79234.36,56,7,11319.194286,2025-02-25,2026-05-25,3,2,2,Lost,Active
90,389835.95,29,34,11465.763235,2025-01-09,2026-06-21,4,4,2,Loyal,Active
225,197273.95,64,17,11604.350000,2025-01-09,2026-05-17,3,3,2,Loyal,Active
35,187881.02,8,16,11742.563750,2025-01-03,2026-07-12,4,3,2,Loyal,Active
220,370151.52,116,31,11940.371613,2025-01-01,2026-03-26,2,4,2,Loyal,Churned
55,171326.98,124,14,12237.641429,2025-03-24,2026-03-18,2,3,2,Loyal,Churned
75,208427.45,50,17,12260.438235,2025-06-28,2026-05-31,3,4,2,Loyal,Active
134,50033.79,22,4,12508.447500,2025-02-21,2026-06-28,4,2,2,Lost,Active
145,139757.26,42,11,12705.205455,2025-03-08,2026-06-08,3,3,2,Loyal,Active
15,78531.43,129,6,13088.571667,2025-01-20,2026-03-13,2,2,2,"At Risk",Churned
43,354012.90,73,27,13111.588889,2025-02-15,2026-05-08,2,4,2,Loyal,Active
207,434708.88,2,33,13172.996364,2025-01-09,2026-07-18,4,4,2,Loyal,Active
166,226539.51,58,17,13325.853529,2025-02-03,2026-05-23,3,4,2,Loyal,Active
206,27286.41,296,2,13643.205000,2025-09-27,2025-09-27,1,1,2,Lost,Churned
233,83345.91,65,6,13890.985000,2025-07-15,2026-05-16,3,2,2,Lost,Active
110,184128.33,68,13,14163.717692,2025-02-08,2026-05-13,3,3,2,Loyal,Active
100,85978.38,43,6,14329.730000,2026-04-22,2026-06-07,3,2,2,Lost,Active
152,305823.79,66,21,14563.037619,2025-01-07,2026-05-15,3,4,2,Loyal,Active
115,220606.21,148,15,14707.080667,2025-02-13,2026-02-22,2,3,2,Loyal,Churned
201,162119.00,84,11,14738.090909,2025-05-02,2026-04-27,2,3,2,Loyal,Active
139,250861.10,129,17,14756.535294,2025-03-01,2026-03-13,2,3,2,Loyal,Churned
64,237898.39,121,16,14868.649375,2025-01-16,2026-03-21,2,3,2,Loyal,Churned
200,133833.98,235,9,14870.442222,2025-02-23,2025-11-27,1,2,2,"At Risk",Churned
10,195139.24,88,13,15010.710769,2025-02-01,2026-04-23,2,3,2,Loyal,Active
36,301382.87,219,20,15069.143500,2025-01-06,2025-12-13,1,4,3,"At Risk",Churned
215,246930.69,83,16,15433.168125,2025-01-07,2026-04-28,2,3,3,Loyal,Active
99,61979.24,102,4,15494.810000,2025-04-26,2026-04-09,2,1,3,Lost,Churned
130,375116.14,0,24,15629.839167,2025-01-10,2026-07-20,4,4,3,Champions,Active
47,313852.37,3,20,15692.618500,2025-02-10,2026-07-17,4,4,3,Champions,Active
142,283092.65,22,18,15727.369444,2025-07-11,2026-06-28,4,4,3,Champions,Active
197,142663.31,61,9,15851.478889,2025-01-23,2026-05-20,3,2,3,Lost,Active
73,237996.85,98,15,15866.456667,2025-02-05,2026-04-13,2,3,3,Loyal,Churned
121,349919.77,15,22,15905.444091,2025-01-27,2026-07-05,4,4,3,Champions,Active
62,176020.25,32,11,16001.840909,2025-01-01,2026-06-18,3,3,3,Champions,Active
240,112410.12,72,7,16058.588571,2025-05-09,2026-05-09,3,2,3,Lost,Active
156,388172.23,1,24,16173.842917,2025-03-14,2026-07-19,4,4,3,Champions,Active
81,113707.59,48,7,16243.941429,2025-01-04,2026-06-02,3,2,3,Lost,Active
173,133183.85,81,8,16647.981250,2025-02-13,2026-04-30,2,2,3,"At Risk",Active
76,50314.97,74,3,16771.656667,2025-04-20,2026-05-07,2,1,3,Lost,Active
66,186161.36,101,11,16923.760000,2025-04-14,2026-04-10,2,3,3,Loyal,Churned
117,356342.83,13,21,16968.706190,2025-01-28,2026-07-07,4,4,3,Champions,Active
45,207431.61,104,12,17285.967500,2025-01-09,2026-04-07,2,3,3,Loyal,Churned
234,294351.63,58,17,17314.801765,2025-01-10,2026-05-23,3,4,3,Champions,Active
48,156813.20,58,9,17423.688889,2025-02-07,2026-05-23,3,3,3,Champions,Active
226,479883.50,198,27,17773.462963,2025-01-02,2026-01-03,1,4,3,"At Risk",Churned
161,53574.54,29,3,17858.180000,2025-05-26,2026-06-21,4,1,3,Lost,Active
194,72417.88,69,4,18104.470000,2025-01-26,2026-05-12,3,1,3,Lost,Active
158,329240.16,54,18,18291.120000,2025-02-20,2026-05-27,3,4,3,Champions,Active
127,92032.71,111,5,18406.542000,2025-07-10,2026-03-31,2,2,3,"At Risk",Churned
89,220958.68,73,12,18413.223333,2025-01-14,2026-05-08,3,3,3,Champions,Active
111,277025.95,179,15,18468.396667,2025-01-17,2026-01-22,1,3,3,"At Risk",Churned
38,111531.49,17,6,18588.581667,2025-06-01,2026-07-03,4,2,3,Lost,Active
143,76467.77,1,4,19116.942500,2025-06-08,2026-07-19,4,2,3,Lost,Active
2,173284.94,82,9,19253.882222,2025-02-23,2026-04-29,2,2,3,"At Risk",Active
29,194113.48,155,10,19411.348000,2025-04-20,2026-02-15,1,3,3,"At Risk",Churned
245,213536.66,139,11,19412.423636,2025-06-19,2026-03-03,2,3,3,Loyal,Churned
128,136628.60,31,7,19518.371429,2025-05-21,2026-06-19,3,2,3,Lost,Active
249,375905.99,63,19,19784.525789,2025-02-07,2026-05-18,3,4,3,Champions,Active
243,316622.93,10,16,19788.933125,2025-05-16,2026-07-10,4,3,3,Champions,Active
147,495948.71,29,25,19837.948400,2025-01-10,2026-06-21,4,4,3,Champions,Active
182,80122.85,60,4,20030.712500,2026-05-21,2026-05-21,3,1,3,Lost,Active
120,363680.37,85,18,20204.465000,2025-01-22,2026-04-26,2,4,3,Loyal,Active
190,103627.63,264,5,20725.526000,2025-04-24,2025-10-29,1,2,3,"At Risk",Churned
232,249685.21,51,12,20807.100833,2025-04-09,2026-05-30,3,3,3,Champions,Active
57,303611.15,49,14,21686.510714,2025-01-22,2026-06-01,3,3,3,Champions,Active
229,87623.28,117,4,21905.820000,2025-01-26,2026-03-25,2,1,3,Lost,Churned
79,306969.92,25,14,21926.422857,2025-02-03,2026-06-25,4,3,3,Champions,Active
123,153514.16,244,7,21930.594286,2025-02-25,2025-11-18,1,2,3,"At Risk",Churned
214,595110.24,64,27,22041.120000,2025-01-28,2026-05-17,3,4,3,Champions,Active
24,374896.04,61,17,22052.708235,2025-01-25,2026-05-20,3,4,3,Champions,Active
26,485515.97,35,22,22068.907727,2025-01-18,2026-06-15,3,4,3,Champions,Active
106,247571.63,76,11,22506.511818,2025-06-19,2026-05-05,2,3,4,Loyal,Active
86,529682.17,63,23,23029.659565,2025-04-25,2026-05-18,3,4,4,Champions,Active
135,668031.96,12,29,23035.584828,2025-01-15,2026-07-08,4,4,4,Champions,Active
231,581227.73,62,25,23249.109200,2025-02-04,2026-05-19,3,4,4,Champions,Active
155,396034.77,22,17,23296.162941,2025-03-19,2026-06-28,4,4,4,Champions,Active
104,262098.02,113,11,23827.092727,2025-06-25,2026-03-29,2,3,4,Loyal,Churned
3,72017.01,359,3,24005.670000,2025-07-26,2025-07-26,1,1,4,Lost,Churned
150,699730.74,43,29,24128.646207,2025-03-24,2026-06-07,3,4,4,Champions,Active
101,636888.32,6,26,24495.704615,2025-05-30,2026-07-14,4,4,4,Champions,Active
193,247304.04,71,10,24730.404000,2025-07-01,2026-05-10,3,3,4,Champions,Active
131,504740.90,28,20,25237.045000,2025-02-19,2026-06-22,4,4,4,Champions,Active
46,455375.04,36,18,25298.613333,2025-01-14,2026-06-14,3,4,4,Champions,Active
132,467480.82,6,18,25971.156667,2025-01-01,2026-07-14,4,4,4,Champions,Active
205,131130.74,123,5,26226.148000,2025-08-23,2026-03-19,2,2,4,"At Risk",Churned
4,290919.71,65,11,26447.246364,2025-01-08,2026-05-16,3,3,4,Champions,Active
20,26514.95,63,1,26514.950000,2026-05-18,2026-05-18,3,1,4,Lost,Active
195,403727.88,6,15,26915.192000,2025-05-14,2026-07-14,4,3,4,Champions,Active
141,578300.14,101,21,27538.101905,2025-03-04,2026-04-10,2,4,4,Loyal,Churned
98,506502.60,6,18,28139.033333,2025-03-13,2026-07-14,4,4,4,Champions,Active
69,29052.93,361,1,29052.930000,2025-07-24,2025-07-24,1,1,4,Lost,Churned
72,731120.90,5,25,29244.836000,2025-02-10,2026-07-15,4,4,4,Champions,Active
167,89341.15,8,3,29780.383333,2025-10-03,2026-07-12,4,1,4,Lost,Active
56,419607.72,83,14,29971.980000,2025-01-19,2026-04-28,2,3,4,Loyal,Active
54,123177.80,12,4,30794.450000,2025-01-25,2026-07-08,4,2,4,Lost,Active
204,62318.07,85,2,31159.035000,2026-04-26,2026-04-26,2,1,4,Lost,Active
125,125156.84,127,4,31289.210000,2025-04-08,2026-03-15,2,1,4,Lost,Churned
91,385858.62,96,12,32154.885000,2025-03-10,2026-04-15,2,3,4,Loyal,Churned
227,868497.32,9,27,32166.567407,2025-01-01,2026-07-11,4,4,4,Champions,Active
239,629545.09,70,19,33133.952105,2025-01-01,2026-05-11,3,4,4,Champions,Active
228,714400.41,13,21,34019.067143,2025-01-30,2026-07-07,4,4,4,Champions,Active
116,102058.85,85,3,34019.616667,2026-03-07,2026-04-26,2,1,4,Lost,Active
53,935981.65,10,27,34665.987037,2025-01-06,2026-07-10,4,4,4,Champions,Active
50,417765.87,6,12,34813.822500,2025-01-10,2026-07-14,4,3,4,Champions,Active
114,384157.55,150,11,34923.413636,2025-02-25,2026-02-20,2,3,4,Loyal,Churned
222,460266.22,155,13,35405.093846,2025-04-12,2026-02-15,1,3,4,"At Risk",Churned
160,288654.62,126,8,36081.827500,2025-01-12,2026-03-16,2,2,4,"At Risk",Churned
51,195548.20,230,5,39109.640000,2025-03-16,2025-12-02,1,2,4,"At Risk",Churned
165,480232.35,52,10,48023.235000,2025-04-08,2026-05-29,3,3,4,Champions,Active
217,48791.28,235,1,48791.280000,2025-11-27,2025-11-27,1,1,4,Lost,Churned
59,49931.25,180,1,49931.250000,2026-01-21,2026-01-21,1,1,4,Lost,Churned
31,101629.23,82,2,50814.615000,2026-04-29,2026-04-29,2,1,4,Lost,Active
223,153565.79,207,3,51188.596667,2025-07-09,2025-12-25,1,1,4,Lost,Churned
105,360927.47,47,7,51561.067143,2025-02-18,2026-06-03,3,2,4,Lost,Active
41,262516.99,84,5,52503.398000,2025-06-05,2026-04-27,2,2,4,"At Risk",Active
94,114272.46,82,2,57136.230000,2026-04-29,2026-04-29,2,1,4,Lost,Active
34,145084.16,78,2,72542.080000,2026-01-26,2026-05-03,2,1,4,Lost,Active
237,158866.95,350,1,158866.950000,2025-08-04,2025-08-04,1,1,4,Lost,Churned
